Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,URL
"Gao, Shang; McGuire, Michael A; Liu, Yaohua; Abernathy, Douglas L; dela Cruz, Clarina; Frontzek, Matthias; Stone, Matthew B; Christianson, Andrew D; ",Spiral spin liquid on a honeycomb lattice,Phys. Rev. Lett.,128,22,227201,2022,,https://link.aps.org/doi/10.1103/PhysRevLett.129.237202
"Gao, Shang; Pokharel, Ganesh; May, Andrew F; Paddison, Joseph AM; Pasco, Chris; Liu, Yaohua; Taddei, Keith M; Calder, Stuart; Mandrus, David G; Stone, Matthew B; ",Line-Graph Approach to Spiral Spin Liquids,Phys. Rev. Lett.,129,23,237202,2022,,https://link.aps.org/doi/10.1103/PhysRevLett.128.227201
"Gao, Shang; Kocsis, Vilmos; Soda, Minoru; Ye, Feng; Liu, Yaohua; May, Andrew F; Taguchi, Yasujiro; Tokura, Yoshinori; Arima, Taka-hisa; Schweika, Werner; ",Suppressed incommensurate order in swedenborgite Ca0.5Y0.5BaCo4O7,Phys. Rev. B,104,14,L140408,2021,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevB.104.L140408
"Gao, Shang; Rosales, H Diego; Albarracín, Flavia A Gómez; Tsurkan, Vladimir; Kaur, Guratinder; Fennell, Tom; Steffens, Paul; Boehm, Martin; Čermák, Petr; Schneidewind, Astrid; ",Fractional antiferromagnetic skyrmion lattice induced by anisotropic couplings,Nature,586,,37,2020,Nature Publishing Group,https://doi.org/10.1038/s41586-020-2716-8
"Gao, Shang; Zaharko, Oksana; Tsurkan, Vladimir; Prodan, Lilian; Riordan, Edward; Lago, Jorge; Fåk, Björn; Wildes, Andrew; Koza, Marek M; Ritter, Clemens; ","Dipolar spin ice states with a fast monopole hopping rate in CdEr2X4 (X = Se, S)",Phys. Rev. Lett.,120,13,137201,2018,,https://link.aps.org/doi/10.1103/PhysRevLett.120.137201
"Gao, Shang; Zaharko, Oksana; Tsurkan, Vladimir; Su, Yixi; White, Jonathan S; Tucker, Gregory S; Roessli, Bertrand; Bourdarot, Frederic; Sibille, Romain; Chernyshov, Dmitry; ",Spiral spin-liquid and the emergence of a vortex-like state in MnSc2S4,Nat. Phys.,13,2,157-161,2017,Nature Research,https://doi.org/10.1038/nphys3914
